Symbol,Date,Open,High,Low,Close,Adj Close,Volume,neg,neu,pos,compound
INTC,2018-02-20,45.459999084472656,46.709999084472656,45.38999938964844,46.31999969482422,42.5045166015625,25512000,0.048100000000000004,0.8227,0.12930000000000003,0.23641
INTC,2018-02-21,46.66999816894531,47.060001373291016,45.91999816894531,45.939998626708984,42.155818939208984,27527500,0.0257,0.8204,0.15389999999999998,0.278285
INTC,2018-02-22,46.13999938964844,46.560001373291016,45.619998931884766,45.79999923706055,42.0273551940918,16946400,0.0,0.0,0.0,0.0
INTC,2018-02-23,46.34000015258789,47.790000915527344,46.310001373291016,47.72999954223633,43.79836654663086,26040900,0.0,0.0,0.0,0.0
INTC,2018-02-26,48.20000076293945,49.130001068115234,48.099998474121094,49.11000061035156,45.064697265625,26992300,0.0,0.0,0.0,0.0
INTC,2018-02-27,49.369998931884766,50.900001525878906,49.310001373291016,49.90999984741211,45.798797607421875,43624100,0.0,0.0,0.0,0.0
INTC,2018-02-28,50.18000030517578,50.34000015258789,49.279998779296875,49.290000915527344,45.22987747192383,35541200,0.0,0.0,0.0,0.0
INTC,2018-03-01,49.5,49.720001220703125,47.470001220703125,47.84000015258789,43.899314880371094,36326600,0.0,0.0,0.0,0.0
INTC,2018-03-02,47.20000076293945,49.04999923706055,46.959999084472656,48.97999954223633,44.945411682128906,33310600,0.0,0.0,0.0,0.0
INTC,2018-03-05,48.56999969482422,49.79999923706055,48.040000915527344,49.75,45.651973724365234,30826500,0.023799999999999998,0.9388,0.0374,0.03332
INTC,2018-03-06,50.15999984741211,51.33000183105469,50.150001525878906,50.709999084472656,46.532901763916016,39132300,0.0313,0.9220499999999999,0.046650000000000004,0.08420000000000001
INTC,2018-03-07,50.18000030517578,51.4900016784668,50.099998474121094,51.31999969482422,47.09265899658203,31801900,0.0,0.0,0.0,0.0
INTC,2018-03-08,51.790000915527344,52.08000183105469,50.470001220703125,50.7400016784668,46.56043243408203,29481200,0.0,0.0,0.0,0.0
INTC,2018-03-09,51.27000045776367,52.29999923706055,51.0,52.189998626708984,47.890995025634766,32727900,0.0,0.0,0.0,0.0
INTC,2018-03-12,51.86000061035156,51.95000076293945,50.5,51.52000045776367,47.276180267333984,32044400,0.017050000000000003,0.9015500000000001,0.08135,0.17773
INTC,2018-03-13,52.52000045776367,53.779998779296875,51.38999938964844,51.779998779296875,47.51476287841797,45573900,0.06255,0.9007000000000001,0.0367,-0.09862500000000002
INTC,2018-03-14,52.060001373291016,52.18000030517578,51.310001373291016,51.86000061035156,47.58817672729492,24993500,0.0,0.0,0.0,0.0
INTC,2018-03-15,52.22999954223633,52.29999923706055,50.880001068115234,50.880001068115234,46.688899993896484,25631200,0.0,0.0,0.0,0.0
INTC,2018-03-16,51.16999816894531,51.70000076293945,50.9900016784668,51.16999816894531,46.95501708984375,42559800,0.0,0.0,0.0,0.0
INTC,2018-03-19,50.7400016784668,51.22999954223633,49.93000030517578,50.83000183105469,46.64302062988281,31115200,0.0,0.9342,0.0658,0.18656
INTC,2018-03-20,50.880001068115234,51.810001373291016,50.849998474121094,51.54999923706055,47.3037109375,22215000,0.0,0.0,0.0,0.0
INTC,2018-03-21,51.54999923706055,52.16999816894531,51.16999816894531,51.560001373291016,47.31289291381836,23239500,0.0,0.0,0.0,0.0
INTC,2018-03-22,50.7400016784668,51.959999084472656,50.599998474121094,50.83000183105469,46.64302062988281,30916000,0.0,0.0,0.0,0.0
INTC,2018-03-23,50.59000015258789,50.9900016784668,49.36000061035156,49.36000061035156,45.294105529785156,37683900,0.0,0.0,0.0,0.0
